"Nombre,""Clase"",""Organización->Nombre"",""Criticidad para el Negocio"",""Puesto en Producción"",""Descripción"""
"7-Zip,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"7-zip,""Software de PC"",""PSG2-1819-G5-50"",""Medio"",,"""""
"Adobe Acrobat Reader,""Software de PC"",""PSG2-1819-G5-50"",""Medio"",,"""""
"DSL1-VM,""Máquina Virtual"",""PSG2-1819-G5-50"",""Alto"",,"""""
"Eclipse EE,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"ECLIPSE IDE JEE,""Otro Software"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"Eclipse,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"Eclipse,""Software de PC"",""PSG2-1819-G5-50"",""Medio"",,"""""
"Eclipse,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"Eclipse,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"ECLIPSE-JEE,""Software de PC"",""PSG2-1819-G5-50"",""Alto"",""2019-04-10"","""""
"Excel,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"Firefox,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"Git,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"Git,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"Git,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"Git,""Otro Software"",""PSG2-1819-G5-50"",""Alto"",,"""""
"GIT,""Software de PC"",""PSG2-1819-G5-50"",""Medio"",,"""""
"GitHub Desktop,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"Github,""Servidor Web"",""PSG2-1819-G5-50"",""Alto"",,"""""
"GitKraken,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"Google Chrome,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"GPU-ANA,""Periférico"",""PSG2-1819-G5-50"",""Bajo"",""2019-04-10"","""""
"GPU-ANTONIO,""Periférico"",""PSG2-1819-G5-50"",""Bajo"",""2019-04-10"",""2GB memoria dedicada"""
"GPU-CAPI,""Periférico"",""PSG2-1819-G5-50"",""Bajo"",""2019-04-10"",""4096 MB"""
"GPU-LUNA,""Periférico"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"GPU-PEDRO,""Periférico"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"GPU-VICTOR,""Periférico"",""PSG2-1819-G5-50"",""Medio"",,"""""
"HYPER-DSL,""Hypervisor"",""PSG2-1819-G5-50"",""Alto"",,"""""
"Java JDK,""Software de PC"",""PSG2-1819-G5-50"",""Medio"",,"""""
"Java,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"Jetty 9.4.15,""Servidor Web"",""PSG2-1819-G5-50"",""Medio"",,"""""
"LAMP,""Servidor Web"",""PSG2-1819-G5-50"",""Alto"",,"""""
"LAPTOP-ANA,""PC/Laptop"",""PSG2-1819-G5-50"",""Bajo"",""2019-04-04"",""Resolución de pantalla máxima: 1920 x 1080"""
"LAPTOP-ANTONIO,""PC/Laptop"",""PSG2-1819-G5-50"",""Medio"",""2019-04-10"",""Resolución de pantalla máxima: 1920 x 1080"""
"LAPTOP-CAPI,""PC/Laptop"",""PSG2-1819-G5-50"",""Bajo"",""2019-03-13"",""Resolución de pantalla máxima: 1920 x 1080"""
"LAPTOP-LUNA,""PC/Laptop"",""PSG2-1819-G5-50"",""Bajo"",""2019-04-24"",""Resolución de pantalla máxima: 1920 x 1080"""
"LAPTOP-PEDRO,""PC/Laptop"",""PSG2-1819-G5-50"",""Bajo"",""2019-04-10"",""Resolución de pantalla máxima: 1920 x 1080"""
"LAPTOP-VICTOR,""PC/Laptop"",""PSG2-1819-G5-50"",""Bajo"",""2019-04-24"",""Resolución de pantalla máxima: 1920 x 1080"""
"Maven,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"Maven,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"MONGO,""Servidor Web"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"Mozilla,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"MySQL5.3,""Servidor de Base de Datos"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"Node js,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"Office 365,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"Office 365,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"Office 365,""Software de PC"",""PSG2-1819-G5-50"",""Medio"",,"""""
"Office,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"Office,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"Office365,""Middleware"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"Office365,""Middleware"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"Oracle 11i,""Servidor de Base de Datos"",""PSG2-1819-G5-50"",""Alto"",,"""""
"PANTALLA-ANA,""Periférico"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"PANTALLA-CAPI,""Periférico"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"PANTALLA-PEDRO,""Periférico"",""PSG2-1819-G5-50"",""Alto"",""2019-04-10"","""""
"Python,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"Sonar Cloud,""Servidor Web"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"SQL 3.7,""Servidor de Base de Datos"",""PSG2-1819-G5-50"",""Alto"",,"""""
"Toggl,""Servidor Web"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"Tomcat 9.0,""Servidor Web"",""PSG2-1819-G5-50"",""Alto"",,"""""
"Visual C++,""Software de PC"",""PSG2-1819-G5-50"",""Medio"",,"""""
"Visual Studio Code,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"Visual Studio Code,""Software de PC"",""PSG2-1819-G5-50"",""Medio"",,"""""
"VSC,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"VSC,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"VSCODE,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",""2019-04-10"","""""
"Word,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"Word,""Software de PC"",""PSG2-1819-G5-50"",""Bajo"",,"""""
"XAMPP 5.6.24,""Servidor Web"",""PSG2-1819-G5-50"",""Alto"",,"""""
"Zenhub,""Servidor Web"",""PSG2-1819-G5-50"",""Bajo"",,"""""
